Client,Currency_Key,ISO_currency_code
300,ADP,ADP
300,AED,AED
300,AFA,AFA
300,AFN,AFN
300,ALL,ALL
300,AMD,AMD
300,ANG,ANG
300,AOA,AOA
300,AON,AON
300,AOR,AOR
300,ARS,ARS
300,ATS,ATS
300,AUD,AUD
300,AWG,AWG
300,AZM,AZM
300,AZN,AZN
300,BAM,BAM
300,BBD,BBD
300,BDT,BDT
300,BEF,BEF
300,BGN,BGN
300,BHD,BHD
300,BIF,BIF
300,BMD,BMD
300,BND,BND
300,BOB,BOB
300,BRL,BRL
300,BSD,BSD
300,BTN,BTN
300,BWP,BWP
300,BYB,BYB
300,BYN,BYN
300,BYR,BYR
300,BZD,BZD
300,CAD,CAD
300,CDF,CDF
300,CFP,XPF
300,CHF,CHF
300,CLF,CLF
300,CLP,CLP
300,CLP4,CLP
300,CNY,CNY
300,COP,COP
300,CRC,CRC
300,CSD,CSD
300,CUC,CUC
300,CUP,CUP
300,CVE,CVE
300,CYP,CYP
300,CZK,CZK
300,DEM,DEM
300,DEM3,DEM
300,DJF,DJF
300,DKK,DKK
300,DOP,DOP
300,DZD,DZD
300,ECS,ECS
300,EEK,EEK
300,EGP,EGP
300,ERN,ERN
300,ESP,ESP
300,ETB,ETB
300,EUR,EUR
300,EUR4,EU4
300,FIM,FIM
300,FJD,FJD
300,FKP,FKP
300,FRF,FRF
300,GBP,GBP
300,GEL,GEL
300,GHC,GHC
300,GHS,GHS
300,GIP,GIP
300,GMD,GMD
300,GNF,GNF
300,GRD,GRD
300,GTQ,GTQ
300,GWP,GWP
300,GYD,GYD
300,HKD,HKD
300,HNL,HNL
300,HRK,HRK
300,HTG,HTG
300,HUF,HUF
300,IDR,IDR
300,IEP,IEP
300,ILS,ILS
300,INR,INR
300,IQD,IQD
300,IRR,IRR
300,ISK,ISK
300,ITL,ITL
300,JMD,JMD
300,JOD,JOD
300,JPY,JPY
300,KES,KES
300,KGS,KGS
300,KHR,KHR
300,KMF,KMF
300,KPW,KPW
300,KRW,KRW
300,KWD,KWD
300,KYD,KYD
300,KZT,KZT
300,LAK,LAK
300,LBP,LBP
300,LKR,LKR
300,LRD,LRD
300,LSL,LSL
300,LTL,LTL
300,LUF,LUF
300,LVL,LVL
300,LYD,LYD
300,MAD,MAD
300,MDL,MDL
300,MGA,MGA
300,MGF,MGF
300,MKD,MKD
300,MMK,MMK
300,MNT,MNT
300,MOP,MOP
300,MRO,MRO
300,MRU,MRU
300,MTL,MTL
300,MUR,MUR
300,MVR,MVR
300,MWK,MWK
300,MXN,MXN
300,MXV,MXV
300,MYR,MYR
300,MZM,MZM
300,MZN,MZN
300,NAD,NAD
300,NGN,NGN
300,NIO,NIO
300,NLG,NLG
300,NOK,NOK
300,NPR,NPR
300,NZD,NZD
300,NZD5,NZD
300,OMR,OMR
300,PAB,PAB
300,PEN,PEN
300,PGK,PGK
300,PHP,PHP
300,PKR,PKR
300,PLN,PLN
300,PTE,PTE
300,PYG,PYG
300,QAR,QAR
300,RMB,CNY
300,ROL,ROL
300,RON,RON
300,RSD,RSD
300,RUB,RUB
300,RWF,RWF
300,SAR,SAR
300,SBD,SBD
300,SCR,SCR
300,SDD,SDD
300,SDG,SDG
300,SDP,SDP
300,SEK,SEK
300,SGD,SGD
300,SHP,SHP
300,SIT,SIT
300,SKK,SKK
300,SLE,SLE
300,SLL,SLL
300,SOS,SOS
300,SRD,SRD
300,SRG,SRG
300,SSP,SSP
300,STD,STD
300,STN,STN
300,SVC,SVC
300,SYP,SYP
300,SZL,SZL
300,THB,THB
300,TJR,TJR
300,TJS,TJS
300,TMM,TMM
300,TMT,TMT
300,TND,TND
300,TOP,TOP
300,TPE,TPE
300,TRL,TRL
300,TRY,TRY
300,TTD,TTD
300,TWD,TWD
300,TZS,TZS
300,UAH,UAH
300,UF,CLP
300,UGX,UGX
300,USD,USD
300,USDN,USD
300,UTM,CLP
300,UYI,UYI
300,UYU,UYU
300,UZS,UZS
300,VEB,VEB
300,VEF,VEF
300,VES,VES
300,VND,VND
300,VUV,VUV
300,WST,WST
300,XAF,XAF
300,XCD,XCD
300,XEU,XEU
300,XOF,XOF
300,XPF,XPF
300,YER,YER
300,YUM,YUM
300,ZAR,ZAR
300,ZMK,ZMK
300,ZMW,ZMW
300,ZRM,ZRM
300,ZRN,ZRN
300,ZRO,ZRN
300,ZWD,ZWD
300,ZWL,ZWL
300,ZWN,ZWN
300,ZWR,ZWR
300,ZWS,ZWR
