Client,Country_Key,Region
300,US,AA
300,US,AE
300,US,AK
300,US,AL
300,US,AP
300,US,AR
300,US,AS
300,US,AZ
300,US,CA
300,US,CO
300,US,CT
300,US,DC
300,US,DE
300,US,FL
300,US,GA
300,US,GU
300,US,HI
300,US,IA
300,US,ID
300,US,IL
300,US,IN
300,US,KS
300,US,KY
300,US,LA
300,US,MA
300,US,MD
300,US,ME
300,US,MI
300,US,MN
300,US,MO
300,US,MP
300,US,MS
300,US,MT
300,US,NC
300,US,ND
300,US,NE
300,US,NH
300,US,NJ
300,US,NM
300,US,NV
300,US,NY
300,US,OH
300,US,OK
300,US,OR
300,US,PA
300,US,PR
300,US,RI
300,US,SC
300,US,SD
300,US,TN
300,US,TX
300,US,UM
300,US,UT
300,US,VA
300,US,VI
300,US,VT
300,US,WA
300,US,WI
300,US,WV
300,US,WY
